country,iso3,largest_major_category,number_of_deaths,percentage_of_total_deaths
Afghanistan,AFG,"Communicable, maternal, perinatal and nutritional conditions",133.036127035643,39.07
Angola,AGO,"Communicable, maternal, perinatal and nutritional conditions",154.307413938423,56.39
Albania,ALB,Noncommunicable diseases,22.5346396514528,66.88
United Arab Emirates,ARE,Noncommunicable diseases,9.69207573054139,68.09
Argentina,ARG,Noncommunicable diseases,262.325048504771,60.51
Armenia,ARM,Noncommunicable diseases,25.7546075902116,71.94
Antigua and Barbuda,ATG,nan,2.0,nan
Australia,AUS,Noncommunicable diseases,155.629057441504,89.63
Austria,AUT,Noncommunicable diseases,78.4396367549032,83.53
Azerbaijan,AZE,Noncommunicable diseases,42.5014803543065,58.76
Burundi,BDI,"Communicable, maternal, perinatal and nutritional conditions",41.7979839559236,50.18
Belgium,BEL,Noncommunicable diseases,84.9926089546811,75.85
Benin,BEN,"Communicable, maternal, perinatal and nutritional conditions",53.1729536882651,53.36
Burkina Faso,BFA,"Communicable, maternal, perinatal and nutritional conditions",82.9877641907092,51.05
Bangladesh,BGD,Noncommunicable diseases,578.585041671513,63.07
Bulgaria,BGR,Noncommunicable diseases,114.072315944558,76.61
Bahrain,BHR,Noncommunicable diseases,4.55541481311918,74.38
Bahamas,BHS,Noncommunicable diseases,2.72466657371635,59.82
Bosnia and Herzegovina,BIH,Noncommunicable diseases,42.0623990634425,74.45
Belarus,BLR,Noncommunicable diseases,101.005640086534,75.33
Belize,BLZ,Noncommunicable diseases,1.04365940492681,53.95
Bolivia (Plurinational State of),BOL,"Communicable, maternal, perinatal and nutritional conditions",51.8520609890448,44.92
Brazil,BRA,Noncommunicable diseases,1095.45754468622,57.45
Barbados,BRB,nan,3.0,114.82
Brunei Darussalam,BRN,Noncommunicable diseases,1.58834691829882,80.78
Bhutan,BTN,nan,4.0,105.69
Botswana,BWA,"Communicable, maternal, perinatal and nutritional conditions",13.3140914054529,58.65
Central African Republic,CAF,"Communicable, maternal, perinatal and nutritional conditions",40.5174002158928,66.31
Canada,CAN,Noncommunicable diseases,267.700546724034,86.14
Switzerland,CHE,Noncommunicable diseases,58.661953246289,82.05
Chile,CHL,Noncommunicable diseases,107.013238002069,73.24
China,CHN,Noncommunicable diseases,10451.643404278,90.68
Côte d'Ivoire,CIV,"Communicable, maternal, perinatal and nutritional conditions",111.459278452365,53.15
Cameroon,CMR,"Communicable, maternal, perinatal and nutritional conditions",116.293804557706,54.49
Democratic Republic of the Congo,COD,"Communicable, maternal, perinatal and nutritional conditions",480.053429992152,55.96
Congo,COG,"Communicable, maternal, perinatal and nutritional conditions",25.3192198860622,58.59
Colombia,COL,Noncommunicable diseases,208.86180517714,57.67
Comoros,COM,nan,4.0,72.61
Cabo Verde,CPV,nan,3.0,92.83
Costa Rica,CRI,Noncommunicable diseases,20.889449756741,66.85
Cuba,CUB,Noncommunicable diseases,102.635388093057,61.05
Cyprus,CYP,Noncommunicable diseases,6.98227278768308,82.76
Czechia,CZE,Noncommunicable diseases,102.289971584631,72.97
Germany,DEU,Noncommunicable diseases,883.010446510307,85.03
Djibouti,DJI,Noncommunicable diseases,4.12856462815488,46.55
Denmark,DNK,Noncommunicable diseases,50.0099076440893,87.7
Dominican Republic,DOM,Noncommunicable diseases,42.9409315343103,63.72
Algeria,DZA,Noncommunicable diseases,162.463288230665,73.89
Ecuador,ECU,Noncommunicable diseases,72.3021533459964,62.21
Egypt,EGY,Noncommunicable diseases,479.399053531652,64.22
Eritrea,ERI,Noncommunicable diseases,14.1310987963783,51.56
Spain,ESP,Noncommunicable diseases,377.694822099505,83.61
Estonia,EST,Noncommunicable diseases,15.3181347608985,82.85
Ethiopia,ETH,"Communicable, maternal, perinatal and nutritional conditions",329.920410007744,48.1
Finland,FIN,Noncommunicable diseases,53.2165213270962,92.25
Fiji,FJI,Noncommunicable diseases,6.33631461540649,67.31
France,FRA,Noncommunicable diseases,511.753155978866,78.9
Micronesia (Federated States of),FSM,nan,3.0,329.1
Gabon,GAB,"Communicable, maternal, perinatal and nutritional conditions",10.0351122056819,54.62
United Kingdom,GBR,Noncommunicable diseases,549.542644527215,79.68
Georgia,GEO,Noncommunicable diseases,43.3679212135988,68.65
Ghana,GHA,Noncommunicable diseases,101.834711022123,46.79
Guinea,GIN,"Communicable, maternal, perinatal and nutritional conditions",68.9729920012026,56.9
Gambia,GMB,"Communicable, maternal, perinatal and nutritional conditions",8.69510425062801,50.22
Guinea-Bissau,GNB,"Communicable, maternal, perinatal and nutritional conditions",11.4893227200989,59.1
Equatorial Guinea,GNQ,"Communicable, maternal, perinatal and nutritional conditions",9.53095389429112,61.4
Greece,GRC,Noncommunicable diseases,120.976286526199,77.17
Grenada,GRD,nan,2.0,151.73
Guatemala,GTM,Noncommunicable diseases,46.7822858214496,42.71
Guyana,GUY,Noncommunicable diseases,3.64247464837926,47.21
Honduras,HND,Noncommunicable diseases,29.0924085592308,47.66
Croatia,HRV,Noncommunicable diseases,48.516195840334,80.45
Haiti,HTI,Noncommunicable diseases,55.9680901023881,54.76
Hungary,HUN,Noncommunicable diseases,121.06075921403,78.77
Indonesia,IDN,Noncommunicable diseases,1378.15494526644,52.22
India,IND,Noncommunicable diseases,6401.44640034039,49.08
Ireland,IRL,Noncommunicable diseases,29.1341041902838,81.73
Iran (Islamic Republic of),IRN,Noncommunicable diseases,291.685365267573,56.62
Iraq,IRQ,Noncommunicable diseases,117.560442172142,63.43
Iceland,ISL,Noncommunicable diseases,2.15815025915196,89.98
Israel,ISR,Noncommunicable diseases,41.3474940134158,76.94
Italy,ITA,Noncommunicable diseases,578.783876395507,81.49
Jamaica,JAM,Noncommunicable diseases,18.5349704625152,68.68
Jordan,JOR,Noncommunicable diseases,21.3218029443741,54.05
Japan,JPN,Noncommunicable diseases,1184.40499201837,85.34
Kazakhstan,KAZ,Noncommunicable diseases,111.94432940676,59.88
Kenya,KEN,"Communicable, maternal, perinatal and nutritional conditions",154.268519229242,50.31
Kyrgyzstan,KGZ,Noncommunicable diseases,23.8563240984316,61.43
Cambodia,KHM,Noncommunicable diseases,78.4724992946578,63.62
Kiribati,KIR,nan,3.0,234.25
Republic of Korea,KOR,Noncommunicable diseases,245.781544988306,77.18
Kuwait,KWT,Noncommunicable diseases,6.7315059533062,58.97
Lao People's Democratic Republic,LAO,Noncommunicable diseases,29.872601649933,62.89
Lebanon,LBN,Noncommunicable diseases,23.3444920691919,53.19
Liberia,LBR,"Communicable, maternal, perinatal and nutritional conditions",22.425094659944,56.97
Libya,LBY,Noncommunicable diseases,25.513810179299,62.7
Saint Lucia,LCA,nan,1.0,58.64
Sri Lanka,LKA,Noncommunicable diseases,111.316382281953,74.76
Lesotho,LSO,"Communicable, maternal, perinatal and nutritional conditions",18.1059314313706,54.14
Lithuania,LTU,Noncommunicable diseases,37.5045176678114,78.1
Luxembourg,LUX,Noncommunicable diseases,3.46119196968878,79.83
Latvia,LVA,Noncommunicable diseases,27.8882236281228,81.08
Morocco,MAR,Noncommunicable diseases,186.713413029132,74.04
Republic of Moldova,MDA,Noncommunicable diseases,35.3781828056674,72.66
Madagascar,MDG,"Communicable, maternal, perinatal and nutritional conditions",115.5731798873,50.41
Maldives,MDV,nan,3.0,107.17
Mexico,MEX,Noncommunicable diseases,554.962654692674,53.58
North Macedonia,MKD,Noncommunicable diseases,19.677034887227,69.72
Mali,MLI,"Communicable, maternal, perinatal and nutritional conditions",110.405249167495,60.59
Malta,MLT,Noncommunicable diseases,3.52391423510726,83.62
Myanmar,MMR,Noncommunicable diseases,276.824684530845,61.57
Montenegro,MNE,Noncommunicable diseases,5.65234861091859,65.29
Mongolia,MNG,Noncommunicable diseases,16.1106323292754,73.59
Mozambique,MOZ,"Communicable, maternal, perinatal and nutritional conditions",176.994465771566,59.72
Mauritania,MRT,"Communicable, maternal, perinatal and nutritional conditions",12.0407427744144,46.76
Mauritius,MUS,Noncommunicable diseases,9.75030914522869,80.9
Malawi,MWI,"Communicable, maternal, perinatal and nutritional conditions",72.1994202856913,50.69
Malaysia,MYS,Noncommunicable diseases,153.023521861723,65.0
Namibia,NAM,"Communicable, maternal, perinatal and nutritional conditions",15.3336310650663,56.15
Niger,NER,"Communicable, maternal, perinatal and nutritional conditions",151.480440752375,65.71
Nigeria,NGA,"Communicable, maternal, perinatal and nutritional conditions",1075.69703730287,63.7
Nicaragua,NIC,Noncommunicable diseases,14.2127039137756,48.84
Netherlands,NLD,Noncommunicable diseases,133.765125881806,78.16
Norway,NOR,Noncommunicable diseases,36.0528058490917,86.56
Nepal,NPL,Noncommunicable diseases,110.050608932981,55.34
New Zealand,NZL,Noncommunicable diseases,30.9776146073188,89.53
Oman,OMN,Noncommunicable diseases,9.08238144265575,52.1
Pakistan,PAK,Noncommunicable diseases,871.645203854251,52.03
Panama,PAN,Noncommunicable diseases,15.9482569401532,66.66
Peru,PER,"Communicable, maternal, perinatal and nutritional conditions",155.950204327196,53.6
Philippines,PHL,Noncommunicable diseases,622.231555790122,68.46
Papua New Guinea,PNG,Noncommunicable diseases,31.820841675968,47.61
Poland,POL,Noncommunicable diseases,371.390290063354,72.33
Puerto Rico,PRI,Noncommunicable diseases,27.3208354825826,81.32
Democratic People's Republic of Korea,PRK,Noncommunicable diseases,209.833244186399,79.08
Portugal,PRT,Noncommunicable diseases,98.7254076070093,80.25
Paraguay,PRY,Noncommunicable diseases,23.8040051608841,48.39
"occupied Palestinian territory, including east Jerusalem",PSE,Noncommunicable diseases,13.1764343275196,64.84
Qatar,QAT,nan,4.0,83.22
Romania,ROU,Noncommunicable diseases,238.769819486626,72.82
Russian Federation,RUS,Noncommunicable diseases,1529.2720071857,62.34
Rwanda,RWA,Noncommunicable diseases,39.9759421935013,50.29
Saudi Arabia,SAU,Noncommunicable diseases,57.7993508012461,67.63
Sudan,SDN,"Communicable, maternal, perinatal and nutritional conditions",122.750327426616,44.35
Senegal,SEN,Noncommunicable diseases,47.9129386901045,47.69
Singapore,SGP,Noncommunicable diseases,18.0507237726484,74.89
Solomon Islands,SLB,Noncommunicable diseases,3.96670079046639,68.22
Sierra Leone,SLE,"Communicable, maternal, perinatal and nutritional conditions",40.0501754810441,57.57
El Salvador,SLV,Noncommunicable diseases,25.0711957339785,53.92
Somalia,SOM,"Communicable, maternal, perinatal and nutritional conditions",133.823245233108,63.83
Serbia,SRB,Noncommunicable diseases,99.4561532020983,72.16
South Sudan,SSD,"Communicable, maternal, perinatal and nutritional conditions",60.6720255961102,60.4
Sao Tome and Principe,STP,nan,4.0,357.39
Suriname,SUR,Noncommunicable diseases,2.59241080306714,49.97
Slovakia,SVK,Noncommunicable diseases,49.0481898012178,66.86
Slovenia,SVN,Noncommunicable diseases,17.1650647355314,75.79
Sweden,SWE,Noncommunicable diseases,77.6420243813635,84.29
Eswatini,SWZ,"Communicable, maternal, perinatal and nutritional conditions",8.14541253866152,51.61
Seychelles,SYC,nan,2.0,215.19
Syrian Arab Republic,SYR,Noncommunicable diseases,80.2910575495363,73.69
Chad,TCD,"Communicable, maternal, perinatal and nutritional conditions",109.374100377394,66.42
Togo,TGO,"Communicable, maternal, perinatal and nutritional conditions",28.7369601352778,45.45
Thailand,THA,Noncommunicable diseases,429.570829391856,67.84
Tajikistan,TJK,Noncommunicable diseases,25.6011355428566,57.16
Turkmenistan,TKM,Noncommunicable diseases,28.8192318874749,67.18
Timor-Leste,TLS,Noncommunicable diseases,4.7666653664051,51.1
Tonga,TON,nan,4.0,602.84
Trinidad and Tobago,TTO,Noncommunicable diseases,8.89525434578857,65.54
Tunisia,TUN,Noncommunicable diseases,50.7175871396837,56.93
Türkiye,TUR,Noncommunicable diseases,457.200622217356,68.76
United Republic of Tanzania,TZA,"Communicable, maternal, perinatal and nutritional conditions",190.409002365388,51.4
Uganda,UGA,"Communicable, maternal, perinatal and nutritional conditions",127.72332000967,50.76
Ukraine,UKR,Noncommunicable diseases,562.430719100662,72.88
Uruguay,URY,Noncommunicable diseases,29.3048349045506,71.9
United States of America,USA,Noncommunicable diseases,2667.66119624233,77.39
Uzbekistan,UZB,Noncommunicable diseases,173.858715403046,80.09
Saint Vincent and the Grenadines,VCT,nan,1.0,99.44
Venezuela (Bolivarian Republic of),VEN,Noncommunicable diseases,155.950988432402,68.67
Viet Nam,VNM,Noncommunicable diseases,550.201543700411,78.21
Vanuatu,VUT,nan,4.0,179.08
Samoa,WSM,nan,4.0,280.29
Yemen,YEM,Noncommunicable diseases,93.2805998155747,41.53
South Africa,ZAF,"Communicable, maternal, perinatal and nutritional conditions",361.507177956918,46.41
Zambia,ZMB,"Communicable, maternal, perinatal and nutritional conditions",82.1584460183872,58.84
Zimbabwe,ZWE,"Communicable, maternal, perinatal and nutritional conditions",75.642003221424,49.37
